"decimalLongitude","decimalLatitude"
-90.4390389525879,42.4195444972221
-90.1720107658601,42.3805442307467
-89.2418044419837,42.0998108901695
-91.0439387887027,39.7791863531021
-89.9255879393802,40.9812587501675
-89.5845491033938,38.2099411916965
-88.3140404671116,38.2606670950742
-88.629294043845,39.7112282045937
-88.9302935934513,38.7044758973675
-90.2160001200474,42.3490164302007
-89.1127888337195,38.3837058201761
-90.3131812096532,41.1117723997447
-88.1876534779861,41.7613164320096
-89.383733910979,37.5022868671777
-89.9058927481641,42.0704693305058
-90.1368799317188,41.8773289617932
-88.1063265765015,40.3106536791122
-89.4801647853233,40.2658631250678
-91.4782806636171,40.1724011953929
-89.16870894837,40.7818095557855
-89.6005887284064,40.5873209861936
-91.3246650964695,40.2807619364738
-88.5665163134635,38.3605599640309
-88.7463865402347,41.6173520005943
-90.0190137088215,38.7412321199583
-89.0479729793825,42.1544318155583
-89.7193806450728,40.1867696608824
-88.9230584181188,42.0661136515475
-87.6272576241976,40.0653972348474
-88.6319352469443,38.1173059130584
-90.3177330681787,39.7885372595175
-88.9182181331571,37.5670646214528
-89.6086823812555,38.5925334092131
-89.9890771999315,38.7035638590838
-89.2683227215327,40.9130788029616
-88.997946537099,40.0985155722446
-90.2910080663893,39.8395986357841
-88.8429681840897,39.485682821911
-89.4139648054994,39.5912294175452
-89.7624057943903,41.1744113971784
-89.6615528503007,38.675512830451
-89.6674159690981,40.9587684559039
-89.4952508576924,37.9066252717523
-88.6915303264598,41.2507074605329
-90.8008694454814,40.0715506659356
-89.9094302115103,41.7763719893752
-88.5026966330651,42.3361768070076
-88.0981850073836,39.3243877173368
-89.3484693259114,39.8731914861099
-89.6211670950982,38.8031133469285
-89.9609405079435,41.023159023885
-88.0458742912441,42.0711492764298
-88.7547393099742,38.7247870295854
-89.6654541550425,40.6695504500571
-89.674558623954,41.3011982466972
-90.1238858767078,42.0001857807884
-90.3822584132622,41.0626548844242
-88.6790538452702,41.627550231275
-90.6511787911913,40.2976530223021
-88.7990363640566,37.2366523083632
-88.8759899959045,40.7635582393734
-89.5447681826881,38.6589267862744
-88.4669192596914,40.6098989954685
-89.627769963768,40.4647378048897
-87.9473537167579,40.5807770501497
-87.8746624820764,39.8398765216936
-88.7494455262135,40.4755755856166
-89.8829271489199,41.7174605573047
-87.9836790349466,42.4074249270808
-88.4297843652255,41.5004606727853
-88.6260640780698,38.9142855873484
-88.4729979156382,39.0199594413148
-90.5424315609033,41.4407590203345
-89.298344350263,38.0841087724008
-88.7588674942553,40.4036104378289
-89.5494120676561,41.0129472666745
-87.9424760666231,38.5661759316486
-89.6165550798764,37.7774957352652
-90.3266976381989,39.9504234484736
-88.1190872296268,41.4216254094115
-91.0321211204744,40.5587918053663
-89.888562984819,37.9224774385203
-89.275311543414,38.6437663934453
-88.7051122621778,37.8236257736253
-88.2999998548206,37.9514625658328
-88.9197301792582,38.5047718813048
-90.5464733893234,38.908505004019
-90.1684215369748,39.5234526619408
-89.4410125446638,40.2659137872247
-91.1312748922398,40.092552664102
-88.3314357820311,42.4821510688242
-88.6923555384792,37.2697183229038
-89.1224397715386,37.1627733967142
-90.6852526526156,40.0321739925735
-89.7771016325226,40.0889399446619
-88.8540340217485,38.0397266605987
-88.336876452086,41.2024382368395
-90.0786647713335,40.8922112918466
-88.0193620134829,42.0106692089057
-89.9976357834178,38.5750565934202
-90.3397466314094,39.5576926909983
-88.4814756177159,39.5848099881666
-89.9334926415977,41.798778830055
-90.1887216847929,42.4318648193031
-88.7662951185357,38.2935355372614
-90.5559756466436,39.0147298712203
